customer_id,transaction_date,amount
CUST0000,2024-12-24,122.54
CUST0000,2024-07-11,19.86
CUST0000,2024-01-25,190.21
CUST0000,2023-09-13,118.33
CUST0000,2024-03-25,21.14
CUST0000,2023-08-30,112.56
CUST0000,2023-01-05,10.14
CUST0000,2024-01-09,163.06
CUST0000,2023-08-12,197.13
CUST0000,2023-10-09,79.27
CUST0000,2024-11-19,168.47
CUST0000,2024-09-01,12.18
CUST0001,2024-06-01,139.88
CUST0001,2024-12-09,199.94
CUST0001,2024-03-12,119.1
CUST0001,2024-07-18,189.23
CUST0001,2024-04-02,78.68
CUST0001,2023-03-26,92.86
CUST0002,2024-05-02,125.54
CUST0002,2023-12-14,57.39
CUST0002,2024-07-04,135.96
CUST0002,2024-11-04,97.86
CUST0002,2023-11-02,171.18
CUST0002,2023-02-23,193.75
CUST0002,2024-02-05,31.13
CUST0002,2023-10-30,87.0
CUST0002,2023-08-17,125.96
CUST0002,2024-07-31,161.98
CUST0002,2023-04-13,31.59
CUST0003,2024-03-10,181.31
CUST0003,2023-11-04,111.75
CUST0003,2024-04-25,157.81
CUST0003,2024-06-25,126.31
CUST0003,2024-07-16,141.04
CUST0003,2023-05-18,185.68
CUST0003,2023-11-26,154.94
CUST0003,2023-03-10,196.11
CUST0003,2023-02-22,72.75
CUST0003,2023-05-06,128.51
CUST0003,2023-04-21,30.13
CUST0004,2024-01-09,141.05
CUST0004,2023-12-26,140.82
CUST0004,2023-10-08,179.87
CUST0004,2023-07-14,105.47
CUST0004,2024-11-02,38.6
CUST0004,2024-09-25,48.65
CUST0005,2024-11-12,39.52
CUST0005,2024-02-09,112.0
CUST0005,2024-10-06,94.85
CUST0005,2023-12-12,179.37
CUST0005,2023-03-19,69.37
CUST0005,2023-03-14,23.0
CUST0005,2023-02-16,127.44
CUST0005,2023-08-27,104.77
CUST0005,2023-04-17,184.57
CUST0005,2024-07-26,5.51
CUST0005,2023-09-14,21.48
CUST0005,2023-09-10,197.32
CUST0005,2023-10-30,77.24
CUST0006,2023-03-19,95.19
CUST0006,2023-12-31,17.16
CUST0006,2024-11-29,54.23
CUST0006,2023-01-07,139.0
CUST0006,2023-12-29,108.76
